#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
185,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,306,Историја уметности,Дипломирани историчар уметности,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00586/2014-04,17/04/2015,20,8,4,4,4,,,1,0,1,5,,,0,0,0,0,,,1,2,5,20,7,0,27,8,4,7,9,4,5,9,,,DH,Државни факултет,9
186,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,307,Филозофија,Дипломирани филозоф,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-03536/2016-06,19/05/2017,20,4,3,4,11,,,0,1,2,4,,,0,0,0,0,,,0,1,2,22,7,0,29,8,4,3,4,4,6,15,,,DH,Државни факултет,15
187,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,308,Српска филологија у контакту са мађарском/словачком филологијом,Дипломирани филолог србиста у одељењима за националне мањине,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,09/05/2014,0,0,0,0,0,,,0,0,0,0,,,,,,,,,11,0,0,0,0,0,0,8,4,0,,,,,,,DH,Државни факултет,
188,48,Универзитет у Нишу,Филозофски факултет,Државни факултет,309,ОАС Комуницирање и односи са јавношћу,Дипломирани комуниколог,Друштвено-хуманистичке науке,Основне академске,78000,660,240,612-00-00678/2012-04,22/02/2013,50,20,41,43,60,,,33,5,3,13,,,0,0,0,0,,,28,56,0,164,54,0,218,8,4,56,53,46,46,73,,,DH,Државни факултет,73
189,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,310,Социологија,Дипломирани социолог,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00586/2014-04,20/03/2015,30,12,12,9,27,,,0,2,1,35,,,0,0,0,0,,,0,8,3,60,38,0,98,8,4,11,12,14,10,62,,,DH,Државни факултет,62
190,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,311,Српска књижевност и  језик,Дипломирани филолог србиста - српска књижевност и језик,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,09/05/2014,85,45,30,36,62,,,12,21,21,93,,,,,,,,,51,46,6,173,147,0,320,8,4,52,,,,,,,DH,Државни факултет,
191,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,312,Српски језик и књижевност,Дипломирани професор језика и књижевности,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00586/2014-04,20/03/2015,30,8,5,1,12,,,0,7,12,44,,,0,0,0,0,,,3,4,1,26,63,0,89,8,4,5,8,12,13,56,,,DH,Државни факултет,56
192,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,313,Српска књижевност и језик,Дипломирани професор језика и књижевности,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00586/2014-06,17/04/2015,30,2,4,4,12,,,1,1,6,30,,,0,0,0,0,,,10,3,0,22,38,0,60,8,4,3,3,5,10,42,,,DH,Државни факултет,42
193,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,314,Енглески језик и књижевност,Дипломирани професор језика и књижевности,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00586/2014-06,03/04/2015,50,23,11,21,27,,,6,12,23,53,,,0,0,0,0,,,11,23,5,82,94,0,176,8,4,28,29,23,44,80,,,DH,Државни факултет,80
194,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,315,Компаративна књижевност са теоријом књижевности,Дипломирани филолог компаратиста,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,09/05/2014,20,13,13,16,17,,,1,4,3,17,,,,,,,,,18,11,2,59,25,0,84,8,4,13,,,,,,,DH,Државни факултет,
195,77,Универзитет у Приштини,"Филозофски факултет, Косовска Митровица",Државни факултет,316,Руски језик и књижевност,Дипломирани професор језика и књижевности,Друштвено-хуманистичке науке,Основне академске,48000,2000,240,612-00-00046/2014-04,03/04/2015,20,3,0,4,3,,,3,3,8,23,,,0,0,0,0,,,1,2,1,10,37,0,47,8,4,3,6,3,12,26,,,DH,Државни факултет,26
203,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,325,Немачки језик и књижевност,Дипломирани филолог - германиста,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,09/05/2014,60,40,36,17,15,,,40,10,32,116,,,,,,1,,,19,68,0,108,198,1,307,8,4,68,,,,132,,,DH,Државни факултет,132
206,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,328,Руски језик и књижевност,Дипломирани филолог слависта - руски језик и књижевност,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,21/03/2014,50,25,19,20,27,,,9,9,7,32,,,1,0,0,2,,,19,22,3,91,57,3,151,8,4,25,35,28,27,61,,,DH,Државни факултет,61
207,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,329,Француски језик и књижевност,Дипломирани филолог - романиста,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,31/10/2014,0,0,0,0,0,,,0,0,0,0,,,,,,,,,21,0,0,0,0,0,0,8,4,0,,,,,,,DH,Државни факултет,
208,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,331,Мађарски језик и књижевност,Дипломирани филолог - хунгаролог,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,10/10/2014,25,11,12,8,18,,,2,1,4,12,,,,,,,,,11,10,1,49,19,0,68,8,4,11,,,,,,,DH,Државни факултет,
209,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,332,Словачки језик и књижевност,Дипломирани филолог - словачки језик и књижевност,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,21/03/2014,30,4,5,3,5,,,0,0,1,2,,,,,,,,,1,3,1,17,3,0,20,8,4,4,,,,,,,DH,Државни факултет,
210,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,333,Русински језик и књижевност,Дипломирани филолог - русински језик и књижевност,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,21/03/2014,20,2,0,1,2,,,0,0,0,1,,,,,,,,,1,1,1,5,1,0,6,8,4,2,,,,,,,DH,Државни факултет,
211,63,Универзитет у Новом Саду,Филозофски факултет,Државни факултет,334,Румунски језик и књижевност,Дипломирани филолог - румунски језик и књижевност,Друштвено-хуманистичке науке,Основне академске,65000,2000,240,612-00-00887/2013-04,04/07/2014,25,5,3,3,5,,,0,2,1,6,,,,1,,,,,3,5,0,16,9,1,26,8,4,5,,6,,,,,DH,Државни факултет,
213,91,Државни Универзитет у Новом Пазару,Департман за филозофске науке,Државни факултет,335,Васпитач у предшколским установама (OAС),Дипломирани васпитач,Друштвено-хуманистичке науке,Основне академске,50000,625,240,612-00-01299/2012-04,14/09/2012,40,20,14,19,0,,,28,20,12,0,,,0,0,0,0,,,0,66,0,53,60,0,113,8,4,66,48,34,31,0,,,DH,Државни факултет,0
